hostname,ContextSwitchesPerSecond,AbstractionLayer,iface,iface_speed,IPTAB_activated,IPTAB_complexity,IPTAB_maxRules,IPTAB_RX_bytes,IPTAB_RX_packets,IPTAB_TX_bytes,IPTAB_TX_packets,OVS_activated,OVS_complexity,OVS_maxRules,OVS_RX_bytes,OVS_RX_dropped,OVS_RX_packets,OVS_TX_bytes,OVS_TX_dropped,OVS_TX_packets,TC_activated,TC_queueDiscipline,TC_queueLenght,TC_complexity,TC_current_bwd_guaranteed,TC_maxRules,TC_RX_bytes,TC_RX_dropped,TC_RX_packets,TC_TX_bytes,TC_TX_dropped,TC_TX_packets,encapsulationLayer,encapsulationType1,encapsulationType2,sense,l3Proto,dstIP,macSrc,macDst,l4Proto,tos,outTos,dstPort,state,totalpktCount,totalBits,packetSize,programmableTechnology,activatedRuleTimeSecs,averageMatchedBytes,averageMatchedPackets,currentMatchedBytesPerPeriod,currentMatchedPacketsPerPeriod,lastMatchedTime,ruleComplexity,totalMatchedBytes,totalMatchedPackets,actionType,actionName,IPTAB_MIN_CRR_currentMatchedPacketsPerPeriod,IPTAB_MAX_CRR_currentMatchedPacketsPerPeriod,IPTAB_MIN_TOTAL_totalMatchedPackets,IPTAB_MAX_TOTAL_totalMatchedPackets,IPTAB_numberRulesActivatedTotal,IPTAB_MEAN_CRR,IPTAB_MEDIAN_CRR,IPTAB_ST_CRR,IPTAB_Q1_CRR,IPTAB_Q3_CRR,IPTAB_MEAN_TOTAL,IPTAB_MEDIAN_TOTAL,IPTAB_ST_TOTAL,IPTAB_Q1_TOTAL,IPTAB_Q3_TOTAL,OVS_MIN_CRR_currentMatchedPacketsPerPeriod,OVS_MAX_CRR_currentMatchedPacketsPerPeriod,OVS_MIN_TOTAL_totalMatchedPackets,OVS_MAX_TOTAL_totalMatchedPackets,OVS_numberRulesActivatedTotal,OVS_MEAN_CRR,OVS_MEDIAN_CRR,OVS_ST_CRR,OVS_Q1_CRR,OVS_Q3_CRR,OVS_MEAN_TOTAL,OVS_MEDIAN_TOTAL,OVS_ST_TOTAL,OVS_Q1_TOTAL,OVS_Q3_TOTAL,TC_MIN_CRR_currentMatchedPacketsPerPeriod,TC_MAX_CRR_currentMatchedPacketsPerPeriod,TC_MIN_TOTAL_totalMatchedPackets,TC_MAX_TOTAL_totalMatchedPackets,TC_numberRulesActivatedTotal,TC_MEAN_CRR,TC_MEDIAN_CRR,TC_ST_CRR,TC_Q1_CRR,TC_Q3_CRR,TC_MEAN_TOTAL,TC_MEDIAN_TOTAL,TC_ST_TOTAL,TC_Q1_TOTAL,TC_Q3_TOTAL,timestamp
EDGE-IAAS-0-COMPUTE-1,5,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,12120994,0,39184,220244,0,711,True,noqueue,1000,8,0,4096,3965079.0,12859.0,13401.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,3623,7419904,256.0,TC,27.0,36166.81481481482,122.1851851851852,31080,105,0.0,3,976504,3299,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,111,3059,3299,4,107.5,107.5,3.0413812651491097,104.5,110.5,3184.0,3189.0,101.71283104898812,3084.5,3283.5,1689798019.0
EDGE-IAAS-0-COMPUTE-1,1,0,eth0,10000000000,True,8.0,4096.0,1323239.0,7592.0,51853326.0,37010.0,True,4,16384,249642,0,441,34364998,0,31905,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,9251,75784192,1024.0,IPTABLES,65.0,118718.12307692308,106.56923076923076,114742,103,0.0,13,7716678,6927,INSERT,DROP,103,134,6927,7057,2,118.5,118.5,15.5,118.5,118.5,6992.0,6992.0,65.0,6992.0,6992.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695030244.0282972
EDGE-IAAS-0-COMPUTE-1,1,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,943547,0,10698,35510,0,322,True,noqueue,1000,8,0,4096,342236.0,4596.0,4623.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,5051,1373872,34.0,TC,43.0,4004.604651162791,54.11627906976744,3774,51,0.0,3,172198,2327,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,52,2296,2327,2,51.5,51.5,0.5,51.5,51.5,2311.5,2311.5,15.5,2311.5,2311.5,1689786630.0
EDGE-IAAS-0-COMPUTE-1,7,0,eth6,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,8332387,0,14777,43508,0,98,True,noqueue,1000,8,0,4096,4830825.0,8750.0,8758.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,14188,58087408,512.0,TC,81.0,59357.03703703704,107.53086419753086,60720,110,0.0,3,4807920,8710,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,110,8710,8710,1,110.0,110.0,0.0,110.0,110.0,8710.0,8710.0,0.0,8710.0,8710.0,1689771675.0
EDGE-IAAS-0-COMPUTE-2,2,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,5358268,0,29478,37268,0,211,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,14137,14476288,128.0,OVS,101.0,20598.43564356436,113.17821782178218,18382,101,0.0,5,2080442,11431,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,101,11431,11514,2,100.5,100.5,0.5,100.5,100.5,11472.5,11472.5,41.5,11472.5,11472.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689852197.0
EDGE-IAAS-0-COMPUTE-2,7,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,12777415,0,70265,139254,0,733,True,noqueue,1000,8,0,4096,7430408.0,44023.0,44239.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8756,8967392,128.0,TC,93.0,19923.35483870968,118.59139784946235,16800,100,0.0,3,1852872,11029,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,116,11004,11117,4,105.0,105.0,8.54400374531753,97.0,113.0,11039.5,11018.5,45.741119356657634,11006.0,11073.0,1689797467.0
EDGE-IAAS-0-COMPUTE-2,4,0,eth6,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,17388192,0,16227,177618,0,340,True,noqueue,1000,8,0,4096,10857670.0,10153.0,10220.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8019,65691648,1024.0,TC,96.0,56447.41666666666,53.052083333333336,53200,50,0.0,3,5418952,5093,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,50,5018,5093,2,50.0,50.0,0.0,50.0,50.0,5055.5,5055.5,37.5,5055.5,5055.5,1689790267.0
EDGE-IAAS-0-COMPUTE-1,2,0,eth0,10000000000,True,8.0,4096.0,1303514.0,7038.0,21419031.0,17899.0,True,4,16384,261862,0,489,7607542,0,13467,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,4566,18702336,512.0,IPTABLES,39.0,32909.333333333336,54.66666666666666,57792,96,0.0,13,1283464,2132,INSERT,DROP,72,96,2103,2132,2,84.0,84.0,12.0,84.0,84.0,2117.5,2117.5,14.5,2117.5,2117.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694797542.482689
EDGE-IAAS-0-COMPUTE-1,1,0,eth6,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,5745934,0,31630,72542,0,408,True,noqueue,1000,8,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,7510,7690240,128.0,OVS,100.0,11447.8,62.9,13468,74,0.0,5,1144780,6290,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,100,6238,6290,4,80.5,86.5,20.958291915134687,61.5,99.5,6269.25,6274.5,19.14908614007468,6255.5,6283.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689856590.0
EDGE-IAAS-0-COMPUTE-1,1,0,eth7,10000000000,False,0.0,0.0,0.0,0.0,0.0,0.0,True,4,16384,2384249,0,13155,95498,0,503,True,noqueue,1000,8,0,4096,226408.0,1196.0,1351.0,0,0,0,1,gtp,0.0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,3069,3142656,128.0,TC,5.0,9744.0,58.0,8736,52,0.0,3,48720,290,INSERT,DROP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,65,245,306,4,58.0,57.5,4.743416490252569,54.0,62.0,276.25,277.0,23.45607597190971,254.5,298.0,1689795005.0
