hostname,ContextSwitchesPerSecond,AbstractionLayer,iface,IPTAB_activated,IPTAB_estimatedDevicePortSpeed,IPTAB_complexity,IPTAB_maxRules,IPTAB_RX_bytes,IPTAB_RX_packets,IPTAB_TX_bytes,IPTAB_TX_packets,OVS_activated,OVS_estimatedDevicePortSpeed,OVS_complexity,OVS_maxRules,OVS_RX_bytes,OVS_RX_dropped,OVS_RX_packets,OVS_TX_bytes,OVS_TX_dropped,OVS_TX_packets,TC_activated,TC_queueDiscipline,TC_queueLenght,TC_currentCombinedQueues,TC_currentRxQueues,TC_currentTxQueues,TC_estimatedDevicePortSpeed,TC_complexity,TC_current_bwd_guaranteed,TC_maxRules,TC_RX_bytes,TC_RX_dropped,TC_RX_packets,TC_TX_bytes,TC_TX_dropped,TC_TX_packets,encapsulationLayer,encapsulationType1,encapsulationType2,sense,l3Proto,dstIP,macSrc,macDst,l4Proto,tos,outTos,dstPort,state,totalpktCount,totalBits,packetSize,sumInterPacketLagNS,lastInterPacketRate,programmableTechnology,activatedRuleTimeSecs,averageMatchedBytes,averageMatchedPackets,currentMatchedBytesPerPeriod,currentMatchedPacketsPerPeriod,lastMatchedTime,ruleComplexity,totalMatchedBytes,totalMatchedPackets,actionType,actionName,IPTAB_numberRulesActivatedTotal,OVS_numberRulesActivatedTotal,TC_numberRulesActivatedTotal,target
EDGE-IAAS-0-COMPUTE-2,9,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,973815,0,11040,21802,0,200.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,5557,1517304,34.0,0,0,OVS,71.0,4875.943661971831,55.40845070422535,4400,50,0.0,5,346192,3934,INSERT,DROP,0.0,2,0,OVS
EDGE-IAAS-0-COMPUTE-1,10,0,eth0,True,10000000000,400,4096,1433604.0,5077.0,26308800.0,76006.0,False,0,20,16384,0,0,0,0,0,0.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,2993158.0,17869.0,22337.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,1.01011e+31,0.0,0.0,17,0,0.0,80,ACTIVE,7422,1900032,32.0,0,0,IPTABLES,79.0,5974.911392,48.97468354,5612,46,0.0,13,452742,3711,INSERT,DROP,13.0,0,4446,IPTABLES
EDGE-IAAS-0-COMPUTE-1,3,0,eth0,True,10000000000,400,4096,2700122.0,9489.0,90116999.0,126729.0,True,10000000000,20,16384,1471744,0,2664,68748746,0,121577.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,12423,50884608,512.0,0,0,IPTABLES,28.0,67553.0,112.21428571428572,68026,113,0.0,13,1891484,3142,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,4,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,17468924,0,30978,266814,0,532.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,13358556.0,24090.0,24224.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,7531,30833696,512.0,0,0,TC,100.0,32943.36,59.68,35880,65,0.0,3,3294336,5968,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-1,4,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,12074636,0,11279,102964,0,200.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,5200,42598400,1024.0,0,0,OVS,19.0,139288.94736842104,129.21052631578948,161700,150,0.0,5,2646490,2455,INSERT,DROP,0.0,2,0,OVS
EDGE-IAAS-0-COMPUTE-2,9,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,5813188,0,10360,192636,0,373.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,2589,10604544,512.0,0,0,OVS,14.0,41803.142857142855,73.85714285714286,28300,50,0.0,5,585244,1034,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth0,True,10000000000,400,4096,1976915.0,11747.0,20287279.0,26505.0,True,10000000000,20,16384,10792,0,107,1555500,0,17685.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,1732,471104,34.0,0,0,IPTABLES,135.0,6581.185185185185,53.07407407407408,6820,55,0.0,13,888460,7165,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,1,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,13227401,0,72736,102194,0,549.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,13965,14301184,128.0,0,0,OVS,111.0,21430.09009009009,117.74774774774777,0,0,12.0,5,2378740,13070,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-2,2,0,eth0,True,10000000000,400,4096,639329.0,3609.0,16645689.0,17393.0,True,10000000000,20,16384,179840,0,338,8669148,0,15338.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,6171,25276416,512.0,0,0,IPTABLES,13.0,67979.69230769231,112.92307692307692,58996,98,0.0,13,883736,1468,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,2,0,eth0,True,10000000000,400,4096,1195411.0,7166.0,20254192.0,19630.0,False,0,20,16384,0,0,0,0,0,0.0,False,0,0,0,0,0,0,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6085,12462080,256.0,0,0,IPTABLES,27.0,18491.777777777777,53.44444444444444,17992,52,0.0,13,499278,1443,INSERT,DROP,2.0,0,0,IPTABLES
